example_id,question,reference,response,context,code,generation_time,response_tokens,quality_class,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,bleu,bert_score,word_f1_precision,word_f1_recall,word_f1,faithfulness,has_citations,citation_count
0,"Si je dirige un cirque, puis-je faire travailler mon fils de 15 ans dans un numéro d'acrobatie ?","Non, l'article 147 du Code du Travail interdit d'employer des mineurs âgés de moins de 16 ans dans les représentations pour les directeurs de cirque, et interdit de faire exécuter des exercices d'acrobatie par des mineurs de moins de 18 ans.","assistant
Non, l'article 147 du Code du Travail indique que la pratique et le travail des acrobautes sont interdits pour tous les âges. L'exercice d'un tour de force périlleux peut être fait avec une autorisation spéciale mais il n'est pas mentionné qu'il ne soit possible de contrôler ce type de travail pour des enfants de moins de 16 ans.","Article 147: Il est interdit à toute personne de faire exécuter par des mineurs de 
moins de 18 ans des tours de force périlleux, des exercices d'acrobatie, de 
contorsion ou de leur confier des travaux comportant des risques sur 
leur vie, leur santé ou leur moralité.
Il est également interdit à toute personne pratiquant les professions 
d'acrobate, saltimbanque, montreur d'animaux, directeur de cirque ou 
d'attractions foraines, d'employer dans ses représentations des mineurs 
âgés de moins de 16 ans.",Code du Travail,2.4030439853668213,91,Medium,0.3582089552238806,0.5106382978723404,0.4210526315789473,0.18181818181818182,0.2608695652173913,0.21428571428571427,0.26865671641791045,0.3829787234042553,0.3157894736842105,0.1877391825107035,0.3992396891117096,0.3076923076923077,0.5333333333333333,0.3902439024390244,1.0,1,4
1,"Si un commerçant est interdit d'exercer son activité par un jugement, combien de temps après sera-t-il radié d'office du registre du commerce ?","L'article 54 du Code de Commerce indique qu'est radié d'office tout commerçant frappé d'une interdiction d'exercer une activité commerciale en vertu d'une décision judiciaire passée en force de chose jugée. Il ne précise pas de délai spécifique après le jugement, la radiation intervient une fois que la décision est définitive.","assistant
L'article 54 du Code de Commerce indique qu'est radié tout commerçant qui est frappé d'une interdiction d'exercer une activité commerciale en vertue d'une décision judiciaire passée en force de choses jugées. Il ne précise pas si il faut compter les années ou des mois de suspension, mais plutôt le nombre de ans dans ce cas. Lorsqu'elle est décédée depuis plus d'un an, c'est-à-dire au moins six mois, cet individu est radié d'office et sa pierrette se trouve sous surveillance.","Article 54 [CODE DE COMMERCE]: Est radié d'office tout commerçant:
1) frappé d'une interdiction d'exercer une activité commerciale en 
vertu d'une décision judiciaire passée en force de chose jugée ; 
2) décédé depuis plus d'un an ; 
3) s'il est établi que la personne immatriculée a cessé effectivement 
depuis plus de trois ans l'exercice de l'activité pour laquelle elle a été 
inscrite.",code de commerce 2019,2.202831745147705,130,Medium,0.51,0.7727272727272727,0.6144578313253012,0.41414141414141414,0.6307692307692307,0.5,0.47,0.7121212121212122,0.5662650602409639,0.28922760226398386,0.4489090144634247,0.4444444444444444,0.7111111111111111,0.5470085470085471,0.6666666666666666,1,4
2,Qu'est-ce que le 'travail par relais' au sens du Code du Travail ?,"Selon l'article 187 du Code du Travail, le 'travail par relais' est une organisation de travail avec des équipes tournantes sur la base de la non-simultanéité des repos des salariés dans le cadre de la même journée.","assistant
L'article 187 du Code du Travail précise qu'il n'existe pas d'autres dispositions relatives aux relations de travail par roulement ou par relais, qu'ils soient employeres ou employeurs. Ces définitions sont limitées et se concentrent sur l'organisation du travail en fonction de son état technique. Les travaux par rémunération peuvent être considérés comme une forme spécifique de relation de travail mais il y a donc peu d'information pour déterminer si cela concerne les relations de travail par roulement ou par relais.","Article 187: Le travail par roulement ou par relais est interdit sauf dans les 
entreprises où cette organisation du travail est justifiée par des raisons 
techniques.
On entend par "" travail par roulement "", l'organisation du travail qui 
permet à un établissement de rester ouvert tous les jours de la semaine, 
sans que chaque salarié qui s'y trouve occupé ne dépasse la limite 
maximum légale de la durée du travail.
On entend par "" travail par relais "", l'organisation de travail avec des 
équipes tournantes sur la base de la non-simultanéité des repos des 
salariés dans le cadre de la même journée.",Code du Travail,2.0389926433563232,122,Low,0.18556701030927836,0.4186046511627907,0.2571428571428571,0.09375,0.21428571428571427,0.13043478260869562,0.15463917525773196,0.3488372093023256,0.21428571428571427,0.07251907869492152,0.2567595839500427,0.19047619047619047,0.3870967741935484,0.25531914893617025,1.0,1,4
3,"Si mon entreprise connaît des difficultés financières temporaires, peut-elle me faire travailler moins d'heures et réduire mon salaire en conséquence ?","Oui, l'article 185 du Code du Travail permet à l'employeur de réduire la durée normale du travail (pour maximum 60 jours par an) en cas de crise économique passagère, après consultation des représentants des salariés. Le salaire est alors payé pour la durée effective de travail mais ne peut être inférieur à 50% du salaire normal, sauf dispositions plus favorables.","assistant
Oui, l'article 185 du Code du Travail indique qu'un employeur peut réduire la durée normale de travail pour un certain nombre de mois ou si nécessaire, mais cela ne permet pas de réduire son salaire. Il faut suivre les dispositions spécifiques du contrat professionnel.","Article 185: Pour se protéger des crises périodiques passagères, l'employeur 
peut, après consultation des représentants des salariés et, le cas échéant, 
des représentants des syndicats au sein de l'entreprise, répartir la durée 
annuelle globale de travail sur l'année selon les besoins de l'entreprise à 
condition que la durée normale du travail n'excède pas dix heures par 
jour.
Cette mesure n'entraîne aucune réduction du salaire mensuel. 
L'employeur peut réduire la durée normale du travail pour une période 
continue ou interrompue ne dépassant pas soixante jours par an, après 
consultation des délégués des salariés et, le cas échéant, des 
représentants des syndicats au sein de l'entreprise en cas de crise 
économique passagère ayant affecté l'entreprise ou de circonstances
exceptionnelles involontaires.
Le salaire est payé pour la durée effective de travail et ne peut, en 
aucun cas, être inférieur à 50 % du salaire normal, sauf dispositions plus 
favorables pour les salariés.
Si la réduction de la durée normale de travail est supérieure à celle 
prévue au premier alinéa ci-dessus, la période de cette réduction doit 
être fixée par accord entre l'employeur, les délégués des salariés et, le cas 
échéant, les représentants des syndicats dans l'entreprise.
A défaut d'accord, la réduction de la durée normale de travail ne 
peut être opérée que sur autorisation du gouverneur de la préfecture ou 
de la province conformément à la procédure fixée à l'article 67 ci-dessus.",Code du Travail,1.6563138961791992,69,Medium,0.5192307692307693,0.39705882352941174,0.45,0.29411764705882354,0.22388059701492538,0.25423728813559326,0.4230769230769231,0.3235294117647059,0.3666666666666667,0.15957814376535626,0.49443262815475464,0.4878048780487805,0.38461538461538464,0.4301075268817205,1.0,1,4
4,Le Code de la Famille marocain permet-il à une femme de demander le divorce si son mari est absent depuis 6 mois sans donner de nouvelles ?,"L'article 104 du Code de la Famille permet à l'épouse de demander le divorce judiciaire si l'époux s'absente du foyer conjugal durant une période excédant une année. Donc, une absence de 6 mois ne serait pas suffisante pour ce motif spécifique, mais d'autres motifs de divorce pourraient être invoqués selon les circonstances.","assistant
Oui, l'article 104 du Code de la Famille stipule qu'en cas d'absence prolongée de l'ex-père pour six mois sans nouvelle communication, l'épouse peut demander un divorce.","Article 104 [Code de la Famille]: Si l'époux s'absente du foyer conjugal durant une période excédant
une année, l'épouse a la faculté de demander le divorce judiciaire.
Le tribunal s'assure, par tous moyens, de cette absence, de sa durée et
du lieu où se trouve l'absent.
Le tribunal notifie à l'époux, dont l'adresse est connue, la requête de
l'instance afin d'y répondre, en l'avisant que s'il persiste dans son
absence ou ne fait pas venir son épouse auprès de lui, le tribunal
prononcera le divorce.",code famille 2016,1.1958374977111816,50,Low,0.5714285714285714,0.32786885245901637,0.4166666666666667,0.23529411764705882,0.13333333333333333,0.1702127659574468,0.37142857142857144,0.21311475409836064,0.2708333333333333,0.09770718341868354,0.3678615093231201,0.5,0.2978723404255319,0.3733333333333333,1.0,1,4
5,"Si je signe un contrat pour acheter un terrain qui n'existe pas réellement (par exemple, un terrain sous la mer), ce contrat est-il valable ?","Non, l'article 59 du Dahir formant Code des Obligations et des Contrats stipule qu'est nulle l'obligation qui a pour objet une chose ou un fait impossible, physiquement ou en vertu de la loi. Un terrain qui n'existe pas serait un objet physiquement impossible.","assistant
L'article 59 du Dahir formant Code des Obligations et Des Contrats indique que l'obligation à atteindre doit être possible physiquement ou par le droit de la loi. Lorsqu'il s'agit d'un contrat où il y a une obligation impossible, cela impliquait qu'elle soit absolue. Il ne peut donc avoir lieu qu'une fausse convention.","Article 59 [DAHIR FORMANT CODE DES OBLIGATIONS ET DES CONTRATS]: Est nulle l'obligation qui a pour objet une chose ou un fait impossible, 
physiquement ou en vertu de la loi.",DAHIR FORMANT CODE DES OBLIGATIONS ET DES CONTRATS,1.6538820266723633,86,Medium,0.4067796610169492,0.5106382978723404,0.4528301886792453,0.25862068965517243,0.32608695652173914,0.2884615384615385,0.3559322033898305,0.44680851063829785,0.3962264150943396,0.2449958565061734,0.403128981590271,0.39622641509433965,0.5675675675675675,0.4666666666666667,0.6666666666666666,1,4
6,"Si un salarié handicapé est embauché, l'employeur doit-il faire quelque chose de spécial concernant son poste de travail ?","Oui, l'article 169 du Code du Travail oblige l'employeur à équiper ses locaux des accessibilités nécessaires pour faciliter le travail des salariés handicapés et à veiller à leur procurer toutes les conditions d'hygiène et de sécurité professionnelle.","assistant
Oui, l'article 169 du Code du Travail indique que l'entreprise doit équiper sa logis avec toutes les caractéristiques requises pour garantir la hygiène et la sécurité professionnelles aux salariés handicapés.","Article 169: L'employeur doit équiper ses locaux des accessibilités22 nécessaires 
pour faciliter le travail des salariés handicapés et veiller à leur procurer 
toutes les conditions d'hygiène et de sécurité professionnelle.",Code du Travail,1.0423941612243652,56,Medium,0.6052631578947368,0.5348837209302325,0.5679012345679012,0.40540540540540543,0.35714285714285715,0.379746835443038,0.47368421052631576,0.4186046511627907,0.4444444444444444,0.21799865876678573,0.5977470874786377,0.5161290322580645,0.48484848484848486,0.5,1.0,1,4
7,"En tant que salarié, ai-je le droit d'accéder à des formations pour m'améliorer professionnellement ?","Oui, l'article 23 du Code du Travail indique que les salariés ont le droit de bénéficier des programmes de lutte contre l'analphabétisme et de formation continue. Les conditions sont fixées par voie réglementaire.","assistant
Non, selon la Constitution du 19月2016, il n'y a pas de possibilité légale de participer aux formations ou à leur accès. Le travail est considéré comme un lieu de travail collectif qui ne peut être utilisé pour préparer une profession ou se débarrasser de certaines compétences. Il existe donc généralement des activités culturelles et professionnelles disponibles dans les salons commerciaux, mais elles ne peuvent être utilisées pour renforcer les compétences personnelles des salariés.","Article 23: Les salariés ont le droit de bénéficier des programmes de lutte 
contre l'analphabétisme et de formation continue.
Les conditions et les modalités du bénéfice de ces formations sont
fixées par voie réglementaire.
(...)",Code du Travail,1.9187004566192627,112,Low,0.19540229885057472,0.4146341463414634,0.26562499999999994,0.011627906976744186,0.025,0.015873015873015872,0.10344827586206896,0.21951219512195122,0.140625,0.004273444042076523,0.17596082389354706,0.15151515151515152,0.3225806451612903,0.20618556701030927,0.6666666666666666,0,0
8,"Est-ce que la Constitution marocaine de 2011 précise comment est organisé le système de santé publique (hôpitaux, centres de santé) ?","L'article 31 de la Constitution garantit le droit aux soins de santé et à la protection sociale. L'article 71 indique que les principes et règles du système de santé sont du domaine de la loi. Cependant, l'organisation détaillée du système de santé publique (structure des hôpitaux, etc.) n'est pas dans la Constitution elle-même mais serait définie par des lois et règlements spécifiques au secteur de la santé.","assistant
Oui, l'article 31 de la Constitution indique qu'à l'intérieur du gouvernement et dans les organisations publiques, tout doit être fait pour favoriser un accessibilité universel au système de santé publique. Cette directive se concentrait notamment sur les soins de santé, la sécurité sociale et la protection collective.","Article 31 [Constitution du Maroc 2011]: L'Etat, les établissements publics et les collectivités territoriales œuvrent à la mobilisation de tous les moyens disponibles pour faciliter l'égal accès des citoyennes et des citoyens aux conditions leur permettant de jouir du droit :
- aux soins de santé ;
- à la protection sociale, à la couverture médicale et à la solidarité mutualiste ou organisée par l'Etat ;
(...)
Article 71 [Constitution du Maroc 2011]: Sont du domaine de la loi, outre les matières qui lui sont expressément dévolues par d'autres articles de la Constitution :
(...)
--- les principes et règles du système de santé ;
(...)",Constitution du Maroc 2011,1.2802979946136475,71,Low,0.5094339622641509,0.3333333333333333,0.4029850746268656,0.25,0.1625,0.196969696969697,0.32075471698113206,0.20987654320987653,0.25373134328358204,0.10950235322112897,0.34678396582603455,0.4444444444444444,0.39215686274509803,0.4166666666666667,1.0,1,3
9,Le Code du Travail marocain définit-il les conditions pour qu'un stage soit considéré comme abusif ou comme un emploi déguisé ?,"L'article 5 du Code du Travail soumet les stagiaires en formation-insertion à certaines dispositions du code. Cependant, les articles fournis (Préambule à 200) ne définissent pas explicitement les critères pour distinguer un stage légitime d'un emploi déguisé ou les conditions d'un stage abusif. Des réglementations spécifiques sur les stages ou la jurisprudence pourraient apporter ces précisions.","assistant
L'article 5 de la Constitution de 2011 précise que les bénéficiaires des stages de formation-insertion et de formation par apprenticeissage sont soumis aux dispositions relatives à la réparation des accidents de travail et des maladies professionnelles. Il n'y a pas d'autres informations spécifiques concernant l'équilibre entre deux types de travail dans ce cas.","Article 5: Les bénéficiaires des stages de formation-insertion et de formation 
par apprentissage sont soumis aux dispositions relatives à la réparation 
des accidents de travail et des maladies professionnelles7 ainsi qu'aux 
dispositions prévues par la présente loi, notamment en ce qui concerne la 
durée du travail, le repos hebdomadaire, le congé annuel payé, les jours 
de repos et de fêtes et la prescription.",Code du Travail,1.4839613437652588,85,Low,0.2857142857142857,0.2727272727272727,0.2790697674418604,0.06451612903225806,0.06153846153846154,0.06299212598425197,0.1746031746031746,0.16666666666666666,0.17054263565891473,0.010106883830484964,0.2540404200553894,0.2765957446808511,0.2653061224489796,0.27083333333333337,1.0,1,3
